game_id,start_time,home,away,p_home,p_draw,p_away,pick,outcome,is_draw,normalized_b365_draw
soccer:epl:2026-01-17:nottm-forest:arsenal,2026-01-17T17:30:00Z,Nott'm Forest,Arsenal,0.3417421877384186,0.21891500055789948,0.43934282660484314,2,1,1,0.21969658895916944
soccer:epl:2026-01-18:wolves:newcastle,2026-01-18T14:00:00Z,Wolves,Newcastle,0.1240796446800232,0.12898708879947662,0.7469332814216614,2,1,1,0.23837638376383766
soccer:epl:2026-01-18:aston-villa:everton,2026-01-18T16:30:00Z,Aston Villa,Everton,0.7968240976333618,0.10813026875257492,0.09504567086696625,0,2,0,0.24520703108612663
soccer:epl:2026-01-19:brighton:bournemouth,2026-01-19T20:00:00Z,Brighton,Bournemouth,0.7818554639816284,0.06851448863744736,0.14963002502918243,0,1,1,0.2418716669533804
soccer:epl:2026-01-24:west-ham:sunderland,2026-01-24T12:30:00Z,West Ham,Sunderland,0.37263357639312744,0.3569429814815521,0.2704234719276428,0,0,0,0.2948885976408912
soccer:epl:2026-01-24:burnley:tottenham,2026-01-24T15:00:00Z,Burnley,Tottenham,0.011481224559247494,0.21908247470855713,0.769436240196228,2,1,1,0.273727896066402
soccer:epl:2026-01-24:fulham:brighton,2026-01-24T15:00:00Z,Fulham,Brighton,0.6093420386314392,0.1516130119562149,0.2390449196100235,0,0,0,0.28035143769968046
soccer:epl:2026-01-24:man-city:wolves,2026-01-24T15:00:00Z,Man City,Wolves,0.9146174788475037,0.05365489423274994,0.031727686524391174,0,0,0,0.13387423935091278
soccer:epl:2026-01-24:bournemouth:liverpool,2026-01-24T17:30:00Z,Bournemouth,Liverpool,0.367658793926239,0.12941426038742065,0.5029269456863403,2,0,0,0.24916943521594684
soccer:epl:2026-01-25:brentford:nottm-forest,2026-01-25T14:00:00Z,Brentford,Nott'm Forest,0.3418574631214142,0.1988239586353302,0.4593185782432556,2,2,0,0.27128802050855677
soccer:epl:2026-01-25:crystal-palace:chelsea,2026-01-25T14:00:00Z,Crystal Palace,Chelsea,0.29713937640190125,0.24188753962516785,0.4609730541706085,2,2,0,0.25089605734767023
soccer:epl:2026-01-25:newcastle:aston-villa,2026-01-25T14:00:00Z,Newcastle,Aston Villa,0.49233752489089966,0.22349870204925537,0.28416377305984497,0,2,0,0.256578947368421
soccer:epl:2026-01-25:arsenal:man-united,2026-01-25T16:30:00Z,Arsenal,Man United,0.8261860609054565,0.10290384292602539,0.07091018557548523,0,2,0,0.22677395757132407
soccer:epl:2026-01-26:everton:leeds,2026-01-26T20:00:00Z,Everton,Leeds,0.6791800260543823,0.05199771746993065,0.2688223123550415,0,1,1,0.2923387096774194
soccer:epl:2026-01-31:brighton:everton,2026-01-31T15:00:00Z,Brighton,Everton,0.2906665503978729,0.2664724886417389,0.44286099076271057,2,1,1,0.26150663678676095
soccer:epl:2026-01-31:leeds:arsenal,2026-01-31T15:00:00Z,Leeds,Arsenal,0.3663816452026367,0.3889460861682892,0.2446722686290741,1,2,0,0.22521953376713624
soccer:epl:2026-01-31:wolves:bournemouth,2026-01-31T15:00:00Z,Wolves,Bournemouth,0.023780113086104393,0.7996296882629395,0.1765902191400528,1,2,0,0.268194611982308
soccer:epl:2026-01-31:chelsea:west-ham,2026-01-31T17:30:00Z,Chelsea,West Ham,0.845831573009491,0.10683393478393555,0.04733453691005707,0,0,0,0.21052631578947367
soccer:epl:2026-01-31:liverpool:newcastle,2026-01-31T20:00:00Z,Liverpool,Newcastle,0.4331620931625366,0.13059139251708984,0.4362465739250183,2,0,0,0.24284304047384012
soccer:epl:2026-02-01:aston-villa:brentford,2026-02-01T14:00:00Z,Aston Villa,Brentford,0.6634731888771057,0.08437822014093399,0.2521486282348633,0,2,0,0.2705570291777188
soccer:epl:2026-02-01:man-united:fulham,2026-02-01T14:00:00Z,Man United,Fulham,0.6095007658004761,0.16041216254234314,0.23008699715137482,0,0,0,0.2098089001737271
soccer:epl:2026-02-01:nottm-forest:crystal-palace,2026-02-01T14:00:00Z,Nott'm Forest,Crystal Palace,0.41504335403442383,0.28530970215797424,0.29964691400527954,0,1,1,0.2708333333333333
soccer:epl:2026-02-01:tottenham:man-city,2026-02-01T16:30:00Z,Tottenham,Man City,0.34139180183410645,0.2809029817581177,0.3777051866054535,2,1,1,0.23358737397983678
soccer:epl:2026-02-02:sunderland:burnley,2026-02-02T20:00:00Z,Sunderland,Burnley,0.8618269562721252,0.07547876983880997,0.06269431859254837,0,0,0,0.27164416203335984
soccer:epl:2026-02-06:leeds:nottm-forest,2026-02-06T20:00:00Z,Leeds,Nott'm Forest,0.4776824414730072,0.18281446397304535,0.33950310945510864,0,0,0,0.288135593220339
soccer:epl:2026-02-07:man-united:tottenham,2026-02-07T12:30:00Z,Man United,Tottenham,0.6283275485038757,0.153502956032753,0.21816949546337128,0,0,0,0.2098089001737271
soccer:epl:2026-02-07:arsenal:sunderland,2026-02-07T15:00:00Z,Arsenal,Sunderland,0.7433556318283081,0.11851207911968231,0.1381322741508484,0,0,0,0.1505166298257338
soccer:epl:2026-02-07:bournemouth:aston-villa,2026-02-07T15:00:00Z,Bournemouth,Aston Villa,0.583000898361206,0.18579143285751343,0.23120763897895813,0,1,1,0.2705410821643286
soccer:epl:2026-02-07:burnley:west-ham,2026-02-07T15:00:00Z,Burnley,West Ham,0.00028263204148970544,0.12671872973442078,0.8729986548423767,2,2,0,0.2711119602598395
soccer:epl:2026-02-07:fulham:everton,2026-02-07T15:00:00Z,Fulham,Everton,0.29556480050086975,0.3535102605819702,0.35092490911483765,1,2,0,0.2928870292887029
soccer:epl:2026-02-07:wolves:chelsea,2026-02-07T15:00:00Z,Wolves,Chelsea,0.1395488977432251,0.16161979734897614,0.69883131980896,2,2,0,0.2383671139023694
soccer:epl:2026-02-07:newcastle:brentford,2026-02-07T17:30:00Z,Newcastle,Brentford,0.533602237701416,0.22839927673339844,0.23799842596054077,0,2,0,0.27272727272727276
soccer:epl:2026-02-08:brighton:crystal-palace,2026-02-08T14:00:00Z,Brighton,Crystal Palace,0.552049994468689,0.21491336822509766,0.2330365777015686,0,2,0,0.2708333333333333
soccer:epl:2026-02-08:liverpool:man-city,2026-02-08T16:30:00Z,Liverpool,Man City,0.7207000851631165,0.052821435034275055,0.22647851705551147,0,2,0,0.256405233879182
soccer:epl:2026-02-10:chelsea:leeds,2026-02-10T19:30:00Z,Chelsea,Leeds,0.294855535030365,0.34796956181526184,0.35717496275901794,2,1,1,0.2183014736949925
soccer:epl:2026-02-10:everton:bournemouth,2026-02-10T19:30:00Z,Everton,Bournemouth,0.4944407641887665,0.2355097234249115,0.27004948258399963,0,2,0,0.2807486631016043
soccer:epl:2026-02-10:tottenham:newcastle,2026-02-10T19:30:00Z,Tottenham,Newcastle,0.18245655298233032,0.21143212914466858,0.6061113476753235,2,2,0,0.26586102719033233
soccer:epl:2026-02-10:west-ham:man-united,2026-02-10T20:15:00Z,West Ham,Man United,0.26690152287483215,0.3522007465362549,0.38089773058891296,2,1,1,0.22707034728406053
soccer:epl:2026-02-11:aston-villa:brighton,2026-02-11T19:30:00Z,Aston Villa,Brighton,0.694491446018219,0.20830035209655762,0.09720821678638458,0,0,0,0.25569843227056543
soccer:epl:2026-02-11:crystal-palace:burnley,2026-02-11T19:30:00Z,Crystal Palace,Burnley,0.8204044699668884,0.14371784031391144,0.03587765619158745,0,2,0,0.2387905335523514
soccer:epl:2026-02-11:man-city:fulham,2026-02-11T19:30:00Z,Man City,Fulham,0.830899715423584,0.10009133070707321,0.06900902837514877,0,0,0,0.17153153153153156
soccer:epl:2026-02-11:nottm-forest:wolves,2026-02-11T19:30:00Z,Nott'm Forest,Wolves,0.322991281747818,0.43502581119537354,0.24198292195796967,1,1,1,0.2502944640753828
soccer:epl:2026-02-11:sunderland:liverpool,2026-02-11T20:15:00Z,Sunderland,Liverpool,0.35697588324546814,0.3979783356189728,0.24504579603672028,1,2,0,0.25021695111368236
soccer:epl:2026-02-12:brentford:arsenal,2026-02-12T20:00:00Z,Brentford,Arsenal,0.39873218536376953,0.2798610031604767,0.3214068114757538,0,1,1,0.24300331026181163
soccer:epl:2026-02-18:wolves:arsenal,2026-02-18T20:00:00Z,Wolves,Arsenal,0.06570708751678467,0.09856516867876053,0.8357277512550354,2,1,1,0.1802763220581229
soccer:epl:2026-02-21:aston-villa:leeds,2026-02-21T15:00:00Z,Aston Villa,Leeds,0.6186031699180603,0.15859448909759521,0.2228023111820221,0,1,1,0.2647355288596593
soccer:epl:2026-02-21:brentford:brighton,2026-02-21T15:00:00Z,Brentford,Brighton,0.5563259124755859,0.3247431218624115,0.11893097311258316,0,2,0,0.25594149908592323
soccer:epl:2026-02-21:chelsea:burnley,2026-02-21T15:00:00Z,Chelsea,Burnley,0.895572304725647,0.06474412977695465,0.0396835133433342,0,1,1,0.14557024957740877
soccer:epl:2026-02-21:west-ham:bournemouth,2026-02-21T17:30:00Z,West Ham,Bournemouth,0.5352435111999512,0.196035698056221,0.2687208354473114,0,1,1,0.2572781342933166
soccer:epl:2026-02-21:man-city:newcastle,2026-02-21T20:00:00Z,Man City,Newcastle,0.41630855202674866,0.26522496342658997,0.31846651434898376,0,0,0,0.18665886483323582
soccer:epl:2026-02-22:crystal-palace:wolves,2026-02-22T14:00:00Z,Crystal Palace,Wolves,0.3015691339969635,0.15278410911560059,0.5456467866897583,2,0,0,0.23672883787661403
soccer:epl:2026-02-22:nottm-forest:liverpool,2026-02-22T14:00:00Z,Nott'm Forest,Liverpool,0.32585299015045166,0.19083571434020996,0.4833112955093384,2,2,0,0.24284304047384012
soccer:epl:2026-02-22:sunderland:fulham,2026-02-22T14:00:00Z,Sunderland,Fulham,0.5506922602653503,0.22017644345760345,0.22913134098052979,0,2,0,0.29347826086956524
soccer:epl:2026-02-22:tottenham:arsenal,2026-02-22T16:30:00Z,Tottenham,Arsenal,0.44979339838027954,0.2556611895561218,0.29454541206359863,0,2,0,0.23727959697732998
soccer:epl:2026-02-23:everton:man-united,2026-02-23T20:00:00Z,Everton,Man United,0.5868211388587952,0.21111881732940674,0.20205999910831451,0,2,0,0.25145439342454057
soccer:epl:2026-02-27:wolves:aston-villa,2026-02-27T20:00:00Z,Wolves,Aston Villa,0.05338950827717781,0.31694427132606506,0.6296661496162415,2,0,0,0.25625
soccer:epl:2026-02-28:bournemouth:sunderland,2026-02-28T12:30:00Z,Bournemouth,Sunderland,0.3409513235092163,0.3791324496269226,0.2799161970615387,1,1,1,0.25320403489108717
soccer:epl:2026-02-28:burnley:brentford,2026-02-28T15:00:00Z,Burnley,Brentford,0.04669000953435898,0.5680447220802307,0.3852652907371521,1,2,0,0.24265943519730693
soccer:epl:2026-02-28:liverpool:west-ham,2026-02-28T15:00:00Z,Liverpool,West Ham,0.8966438174247742,0.08369577676057816,0.01966036483645439,0,0,0,0.19701173959445034
soccer:epl:2026-02-28:newcastle:everton,2026-02-28T15:00:00Z,Newcastle,Everton,0.3184880018234253,0.17057879269123077,0.5109331607818604,2,2,0,0.23837638376383766
soccer:epl:2026-02-28:leeds:man-city,2026-02-28T17:30:00Z,Leeds,Man City,0.23266112804412842,0.38547593355178833,0.38186290860176086,1,2,0,0.21813017509942711
soccer:epl:2026-03-01:brighton:nottm-forest,2026-03-01T14:00:00Z,Brighton,Nott'm Forest,0.2910018861293793,0.2879692018032074,0.4210289716720581,2,0,0,0.2611940298507463
soccer:epl:2026-03-01:fulham:tottenham,2026-03-01T14:00:00Z,Fulham,Tottenham,0.44598308205604553,0.09138257056474686,0.4626343548297882,2,0,0,0.2627986348122867
soccer:epl:2026-03-01:man-united:crystal-palace,2026-03-01T14:00:00Z,Man United,Crystal Palace,0.4959612488746643,0.2555619180202484,0.24847686290740967,0,0,0,0.21011235955056176
soccer:epl:2026-03-01:arsenal:chelsea,2026-03-01T16:30:00Z,Arsenal,Chelsea,0.5668463110923767,0.13501544296741486,0.29813823103904724,0,0,0,0.24594745667970933
soccer:epl:2026-03-03:bournemouth:brentford,2026-03-03T19:30:00Z,Bournemouth,Brentford,0.4429435133934021,0.21737758815288544,0.33967891335487366,0,1,1,0.26254841672323603
soccer:epl:2026-03-03:everton:burnley,2026-03-03T19:30:00Z,Everton,Burnley,0.768988847732544,0.15582683682441711,0.07518430054187775,0,0,0,0.23727959697732998
soccer:epl:2026-03-03:leeds:sunderland,2026-03-03T19:30:00Z,Leeds,Sunderland,0.29533839225769043,0.44513338804244995,0.259528249502182,1,2,0,0.2760099922473943
soccer:epl:2026-03-03:wolves:liverpool,2026-03-03T20:15:00Z,Wolves,Liverpool,0.2482386827468872,0.36574289202690125,0.38601842522621155,2,0,0,0.20754716981132074
soccer:epl:2026-03-04:aston-villa:chelsea,2026-03-04T19:30:00Z,Aston Villa,Chelsea,0.41203489899635315,0.27451732754707336,0.3134478032588959,0,2,0,0.27835051546391754
soccer:epl:2026-03-04:brighton:arsenal,2026-03-04T19:30:00Z,Brighton,Arsenal,0.5344865918159485,0.25351572036743164,0.21199765801429749,0,2,0,0.22999046291541345
soccer:epl:2026-03-04:fulham:west-ham,2026-03-04T19:30:00Z,Fulham,West Ham,0.3994269073009491,0.2943404018878937,0.3062326908111572,0,2,0,0.2705667276051188
soccer:epl:2026-03-04:man-city:nottm-forest,2026-03-04T19:30:00Z,Man City,Nott'm Forest,0.7749394774436951,0.12234196066856384,0.10271856933832169,0,1,1,0.18904109589041096
soccer:epl:2026-03-04:newcastle:man-united,2026-03-04T20:15:00Z,Newcastle,Man United,0.2436102330684662,0.4017501473426819,0.3546396493911743,1,0,0,0.2719643638388418
soccer:epl:2026-03-05:tottenham:crystal-palace,2026-03-05T20:00:00Z,Tottenham,Crystal Palace,0.39922600984573364,0.15128841996192932,0.44948551058769226,2,2,0,0.29142914291429145
soccer:epl:2026-03-14:burnley:bournemouth,2026-03-14T15:00:00Z,Burnley,Bournemouth,0.036395709961652756,0.6518159508705139,0.3117883503437042,1,1,1,0.24979192329460334
soccer:epl:2026-03-14:sunderland:brighton,2026-03-14T15:00:00Z,Sunderland,Brighton,0.4924808740615845,0.203706756234169,0.3038124442100525,0,2,0,0.28846153846153844
soccer:epl:2026-03-14:arsenal:everton,2026-03-14T17:30:00Z,Arsenal,Everton,0.7957281470298767,0.15228189527988434,0.051989927887916565,0,0,0,0.19996590521650184
soccer:epl:2026-03-14:chelsea:newcastle,2026-03-14T17:30:00Z,Chelsea,Newcastle,0.5904257297515869,0.1025550439953804,0.3070192039012909,0,2,0,0.225296442687747
soccer:epl:2026-03-14:west-ham:man-city,2026-03-14T20:00:00Z,West Ham,Man City,0.5520797371864319,0.10665953904390335,0.341260701417923,0,1,1,0.21992238033635186
soccer:epl:2026-03-15:crystal-palace:leeds,2026-03-15T14:00:00Z,Crystal Palace,Leeds,0.4453108310699463,0.3392985761165619,0.21539056301116943,0,1,1,0.2907018168863555
soccer:epl:2026-03-15:man-united:aston-villa,2026-03-15T14:00:00Z,Man United,Aston Villa,0.6100417971611023,0.16916844248771667,0.22078971564769745,0,0,0,0.238036997401009
soccer:epl:2026-03-15:nottm-forest:fulham,2026-03-15T14:00:00Z,Nott'm Forest,Fulham,0.25214970111846924,0.2090400606393814,0.5388103127479553,2,1,1,0.2796610169491525
soccer:epl:2026-03-15:liverpool:tottenham,2026-03-15T16:30:00Z,Liverpool,Tottenham,0.8035848736763,0.14851593971252441,0.04789924621582031,0,1,1,0.1517694272163444
soccer:epl:2026-03-16:brentford:wolves,2026-03-16T20:00:00Z,Brentford,Wolves,0.8289334177970886,0.1379871964454651,0.03307943046092987,0,1,1,0.2252195337671363
soccer:epl:2026-03-20:bournemouth:man-united,2026-03-20T20:00:00Z,Bournemouth,Man United,0.5129324793815613,0.20556962490081787,0.2814978361129761,0,1,1,0.2501861504095309
soccer:epl:2026-03-21:brighton:liverpool,2026-03-21T12:30:00Z,Brighton,Liverpool,0.41627752780914307,0.11207778006792068,0.47164472937583923,2,0,0,0.26882144264879776
soccer:epl:2026-03-21:fulham:burnley,2026-03-21T15:00:00Z,Fulham,Burnley,0.8363290429115295,0.09512752294540405,0.0685434341430664,0,0,0,0.23064121272054125
soccer:epl:2026-03-21:everton:chelsea,2026-03-21T17:30:00Z,Everton,Chelsea,0.3210448920726776,0.15316198766231537,0.5257930755615234,2,0,0,0.2785145888594165
soccer:epl:2026-03-21:leeds:brentford,2026-03-21T20:00:00Z,Leeds,Brentford,0.2483711987733841,0.20050355792045593,0.5511252284049988,2,1,1,0.2744350667029676
soccer:epl:2026-03-22:newcastle:sunderland,2026-03-22T12:00:00Z,Newcastle,Sunderland,0.5524479746818542,0.16131186485290527,0.2862400710582733,0,2,0,0.2383671139023694
soccer:epl:2026-03-22:aston-villa:west-ham,2026-03-22T14:15:00Z,Aston Villa,West Ham,0.18029560148715973,0.1361367404460907,0.6835676431655884,2,0,0,0.26360725720384204
soccer:epl:2026-03-22:tottenham:nottm-forest,2026-03-22T14:15:00Z,Tottenham,Nott'm Forest,0.6595333218574524,0.11279239505529404,0.22767435014247894,0,2,0,0.27982899339292655
soccer:epl:2026-04-10:west-ham:wolves,2026-04-10T19:00:00Z,West Ham,Wolves,0.42506885528564453,0.21108603477478027,0.3638451099395752,0,0,0,0.2507076685537828
soccer:epl:2026-04-11:arsenal:bournemouth,2026-04-11T11:30:00Z,Arsenal,Bournemouth,0.8217104077339172,0.13239169120788574,0.04589798301458359,0,2,0,0.21164021164021163
soccer:epl:2026-04-11:brentford:everton,2026-04-11T14:00:00Z,Brentford,Everton,0.7479343414306641,0.10054967552423477,0.15151597559452057,0,1,1,0.28754298815437523
soccer:epl:2026-04-11:burnley:brighton,2026-04-11T14:00:00Z,Burnley,Brighton,0.06030230596661568,0.4464615285396576,0.4932361841201782,2,2,0,0.238036997401009
soccer:epl:2026-04-11:liverpool:fulham,2026-04-11T16:30:00Z,Liverpool,Fulham,0.3580712378025055,0.21292643249034882,0.4290023744106293,2,0,0,0.22575070209548498
soccer:epl:2026-04-12:crystal-palace:newcastle,2026-04-12T13:00:00Z,Crystal Palace,Newcastle,0.5392903685569763,0.164411261677742,0.2962982952594757,0,0,0,0.2606635071090047
soccer:epl:2026-04-12:nottm-forest:aston-villa,2026-04-12T13:00:00Z,Nott'm Forest,Aston Villa,0.5184594988822937,0.28545960783958435,0.19608092308044434,0,1,1,0.28760631834750905
soccer:epl:2026-04-12:sunderland:tottenham,2026-04-12T13:00:00Z,Sunderland,Tottenham,0.6791675686836243,0.12680412828922272,0.19402827322483063,0,0,0,0.2967032967032967
soccer:epl:2026-04-12:chelsea:man-city,2026-04-12T15:30:00Z,Chelsea,Man City,0.4014546573162079,0.39897558093070984,0.19956974685192108,0,2,0,0.250422693969566
soccer:epl:2026-04-13:man-united:leeds,2026-04-13T19:00:00Z,Man United,Leeds,0.8171532154083252,0.035841669887304306,0.1470051407814026,0,2,0,0.22983939617501845
