time_s,source_time_s,stimulus,fit_mask,WT_mean,WT_SE,KD_mean,KD_SE,WT_model,KD_model
0.0,0.0,0.0,1,0.00790014285714286,0.00313260044147074,0.00530388888888889,0.00830130615800985,0.0,0.0
0.03333333333333333,0.03,0.0,1,0.00899475714285714,0.00302918277842943,-0.00498311111111111,0.00715204994204157,0.0,0.0
0.06666666666666667,0.07,0.0,1,0.00702235714285714,0.00256092247417992,-0.00297388888888889,0.0047915214947413,0.0,0.0
0.1,0.1,0.0,1,0.00749,0.00297513302131274,-0.00993366666666667,0.00670462035962266,0.0,0.0
0.13333333333333333,0.13,0.0,1,0.0099005,0.00418817085982639,0.00164066666666667,0.00337829844991035,0.0,0.0
0.16666666666666666,0.17,0.0,1,0.00996507142857143,0.00347201706974124,0.00545288888888889,0.00606374164019315,0.0,0.0
0.2,0.2,0.0,1,0.0104072142857143,0.00352323327119863,0.000721333333333333,0.00324941167751949,0.0,0.0
0.23333333333333334,0.23,0.0,1,0.00775328571428571,0.00354159671637143,0.00417155555555556,0.00319960734618376,0.0,0.0
0.26666666666666666,0.27,0.0,1,0.00586352142857143,0.00402811696554997,0.000592666666666666,0.00470208963298943,0.0,0.0
0.3,0.3,0.0,1,0.00573921428571429,0.00402217012686371,-0.00117288888888889,0.00275083378998504,0.0,0.0
0.3333333333333333,0.33,0.0,1,0.00719428571428572,0.0040957578528674,0.00358533333333333,0.00667218086327268,0.0,0.0
0.36666666666666664,0.37,0.0,1,0.00664871428571428,0.0030399624427057,0.00473188888888889,0.00806014819522646,0.0,0.0
0.4,0.4,0.0,1,0.00676792857142857,0.00398016589397522,0.0164327777777778,0.00994134390336328,0.0,0.0
0.43333333333333335,0.43,0.0,1,0.00560435714285714,0.00401571609615442,0.0157234444444444,0.00888851045531238,0.0,0.0
0.4666666666666667,0.47,0.0,1,0.00799228571428571,0.00524682734636006,0.007077,0.00611817462111408,0.0,0.0
0.5,0.5,0.0,1,0.00953135714285714,0.00539930908747189,0.001786,0.00277444919959099,0.0,0.0
0.5333333333333333,0.53,0.0,1,0.0100527142857143,0.00545182599456726,0.00372122222222222,0.00296799272693861,0.0,0.0
0.5666666666666667,0.57,0.0,1,0.00756707142857143,0.00593005730979134,0.00264188888888889,0.00439795498702536,0.0,0.0
0.6,0.6,0.0,1,0.00516528571428571,0.00520013606270486,0.00435311111111111,0.00731137529326818,0.0,0.0
0.6333333333333333,0.63,0.0,1,0.00758371428571429,0.005511605190318,0.00793322222222222,0.00969008060076812,0.0,0.0
0.6666666666666666,0.67,0.0,1,0.0101088571428571,0.00562196325242499,0.00994766666666667,0.012968914445276,0.0,0.0
0.7,0.7,0.0,1,0.00781142857142857,0.006216017114366,0.00840344444444444,0.0101516068023615,0.0,0.0
0.7333333333333333,0.73,0.0,1,0.0108496428571429,0.00609482715600836,0.0125435555555556,0.0119319338845515,0.0,0.0
0.7666666666666666,0.77,0.0,1,0.00971192857142857,0.00576636059967998,0.0201097777777778,0.0121021443528935,0.0,0.0
0.8,0.8,0.0,1,0.0102966428571429,0.00554957534719049,0.0162496666666667,0.0134260476489629,0.0,0.0
0.8333333333333334,0.83,0.0,1,0.00821178571428571,0.00521518610625176,0.00701922222222222,0.0102361677464135,0.0,0.0
0.8666666666666667,0.87,0.0,1,0.00545292857142857,0.00509799871255711,0.0129992222222222,0.00659628176992702,0.0,0.0
0.9,0.9,0.0,1,0.00590514285714286,0.00507801804468696,0.0126826666666667,0.0105931920079203,0.0,0.0
0.9333333333333333,0.93,0.0,1,0.00444357142857143,0.00460358199847038,0.0110135555555556,0.00732355385821648,0.0,0.0
0.9666666666666667,0.97,0.0,1,0.00374092857142857,0.00423591716973294,0.00861877777777778,0.0109749142767821,0.0,0.0
1.0,1.0,0.0,1,0.00612164285714286,0.00450947350257302,0.00954711111111111,0.0118251627348967,0.0,0.0
1.0333333333333332,1.03,0.0,1,0.00321542857142857,0.00389614224489618,0.00932577777777778,0.00760367109029466,0.0,0.0
1.0666666666666667,1.07,0.0,1,0.00497428571428572,0.0044084329258652,0.00679577777777778,0.0125570661689586,0.0,0.0
1.1,1.1,0.0,1,0.002826,0.00441513450070784,0.00729844444444445,0.0108619894639149,0.0,0.0
1.1333333333333333,1.13,0.0,1,0.008002,0.00373743807622633,0.0265228888888889,0.0121901372684419,0.0,0.0
1.1666666666666667,1.17,0.0,1,0.00967657142857143,0.00413754571132982,0.0244145555555556,0.00883691559141271,0.0,0.0
1.2,1.2,0.0,1,0.00798542857142857,0.00464580267460487,0.0152962222222222,0.0074718347307624,0.0,0.0
1.2333333333333334,1.23,0.0,1,0.00637228571428571,0.00508885079367768,0.0104294444444444,0.00757022227236998,0.0,0.0
1.2666666666666666,1.27,0.0,1,0.00988771428571429,0.00488857076062449,0.0135614888888889,0.0056980869830839,0.0,0.0
1.3,1.3,0.0,1,0.0117209285714286,0.00457281620307225,0.000869333333333333,0.00321058005749048,0.0,0.0
1.3333333333333333,1.33,0.0,1,0.00953707142857143,0.00492853396884156,0.00651944444444444,0.00669009415336318,0.0,0.0
1.3666666666666667,1.37,0.0,1,0.0104261428571429,0.00508216539993301,0.00903355555555556,0.0108445144723946,0.0,0.0
1.4,1.4,0.0,1,0.0103808571428571,0.00492319287072792,0.024129,0.0150684932714662,0.0,0.0
1.4333333333333333,1.43,0.0,1,0.0123287857142857,0.00651646677354788,0.013749,0.0100687280257019,0.0,0.0
1.4666666666666666,1.47,0.0,1,0.018548053,0.0072022727972904,0.0222792222222222,0.00961534083693833,0.0,0.0
1.5,1.5,0.0,1,0.02030689,0.00716888308749765,0.0181297777777778,0.00922727036316474,0.0,0.0
1.5333333333333332,1.53,0.0,1,0.0203545,0.00826227667035379,0.0222595555555556,0.0143262325871799,0.0,0.0
1.5666666666666667,1.57,0.0,1,0.0177787714285714,0.0106251059133463,0.0182966666666667,0.0108105310590081,0.0,0.0
1.6,1.6,0.0,1,0.0219687142857143,0.0110311579874087,0.0126667777777778,0.0106741378142293,0.0,0.0
1.6333333333333333,1.63,0.0,1,0.0208977857142857,0.0115750262516867,0.0135385555555556,0.0107697565175602,0.0,0.0
1.6666666666666667,1.67,0.0,1,0.0203789285714286,0.01148490092025,0.0203593333333333,0.0172924069078502,0.0,0.0
1.7,1.7,0.0,1,0.0182970714285714,0.0110575886186839,0.015636,0.015164453555565,0.0,0.0
1.7333333333333334,1.73,0.0,1,0.0202371428571429,0.0102611477534538,0.015485,0.0143626814155451,0.0,0.0
1.7666666666666666,1.77,0.0,1,0.0197565714285714,0.00890844190056608,0.0103626666666667,0.0124264487183588,0.0,0.0
1.8,1.8,0.0,1,0.0141546285714286,0.00762696552289374,0.0131218888888889,0.0144953076990495,0.0,0.0
1.8333333333333333,1.83,0.0,1,0.0150102142857143,0.00761502321988088,0.0153666666666667,0.0138611994370377,0.0,0.0
1.8666666666666667,1.87,0.0,1,0.00943978571428571,0.00686613871860023,0.0245414444444444,0.0181554790529464,0.0,0.0
1.9,1.9,0.0,1,0.0127872857142857,0.00640574297226228,0.0302014444444444,0.0146068764705295,0.0,0.0
1.9333333333333333,1.93,0.0,1,0.00998985714285714,0.00551050685514753,0.0189741111111111,0.0112232472839049,0.0,0.0
1.9666666666666666,1.97,0.0,1,0.0106285714285714,0.00558836682556541,0.0127948888888889,0.00866954916558917,0.0,0.0
2.0,2.0,0.0,1,0.01092,0.00526072375520436,0.00803822222222222,0.0138469647253446,0.0,0.0
2.033333333333333,2.03,0.0,1,0.00715907142857143,0.00431383116160291,0.00738255555555556,0.0109084543030103,0.0,0.0
2.0666666666666664,2.07,0.0,1,0.0102592142857143,0.00430634069457893,-0.00246855555555556,0.0090970895973369,0.0,0.0
2.1,2.1,0.0,1,0.0102013571428571,0.00589537852116137,-0.00408855555555556,0.00456149208992187,0.0,0.0
2.1333333333333333,2.13,0.0,1,0.0133633571428571,0.00589041620538023,0.0173480222222222,0.00895437558034211,0.0,0.0
2.1666666666666665,2.17,0.0,1,0.0144831428571429,0.00638431449060223,0.0216002222222222,0.0140205157515076,0.0,0.0
2.2,2.2,0.0,1,0.0149211428571429,0.00610073346505295,0.0168424444444444,0.0127857490754259,0.0,0.0
2.2333333333333334,2.23,0.0,1,0.0179652142857143,0.00602506698715994,0.0129212222222222,0.00921891712244415,0.0,0.0
2.2666666666666666,2.27,0.0,1,0.0155684285714286,0.00567338397934426,0.0155425222222222,0.0124875055981722,0.0,0.0
2.3,2.3,0.0,1,0.0136838571428571,0.00648066131974872,0.0149402222222222,0.0102154953145506,0.0,0.0
2.3333333333333335,2.33,0.0,1,0.0123452857142857,0.0056894451721892,0.00635233333333333,0.0110470271767768,0.0,0.0
2.3666666666666667,2.37,0.0,1,0.01271755,0.00522964821430248,0.00609322222222222,0.00842580483590239,0.0,0.0
2.4,2.4,0.0,1,0.0132965714285714,0.0055472405522127,0.00951288888888889,0.0114201443394805,0.0,0.0
2.433333333333333,2.43,0.0,1,0.0112380714285714,0.00525811257289894,0.00944433333333333,0.0083283223267221,0.0,0.0
2.466666666666667,2.47,0.0,1,0.0148010714285714,0.00528074881102122,0.00341566666666667,0.00515379918388152,0.0,0.0
2.5,2.5,0.0,1,0.0138437142857143,0.00462328971220184,0.00176966666666667,0.00525951812061819,0.0,0.0
2.533333333333333,2.53,0.0,1,0.0178521428571429,0.0046566044175694,0.00744566666666667,0.00574667331302787,0.0,0.0
2.5666666666666664,2.57,0.0,1,0.0140857142857143,0.00332078319642771,0.00212255555555556,0.00723570997843165,0.0,0.0
2.6,2.6,0.0,1,0.0118362857142857,0.00348986901172455,0.0138074444444444,0.0087085752472158,0.0,0.0
2.6333333333333333,2.63,0.0,1,0.017613,0.00640370946842874,0.0136391111111111,0.00795557300374406,0.0,0.0
2.6666666666666665,2.67,0.0,1,0.0209551428571429,0.00904820896724394,0.0224032222222222,0.00946228926050048,0.0,0.0
2.7,2.7,0.0,1,0.0261420714285714,0.0103808887736252,0.00795445555555555,0.00889755675541686,0.0,0.0
2.7333333333333334,2.73,0.0,1,0.0227249285714286,0.00931968688543047,0.0101562222222222,0.0119661640084515,0.0,0.0
2.7666666666666666,2.77,0.0,1,0.0220528642857143,0.00939549500504614,0.00258866666666667,0.0104245484354639,0.0,0.0
2.8,2.8,0.0,1,0.0175413571428571,0.00786931964371912,0.00223355555555556,0.0101406185052862,0.0,0.0
2.8333333333333335,2.83,0.0,1,0.0182882857142857,0.0071736210708711,-0.000312777777777777,0.0102390879826306,0.0,0.0
2.8666666666666667,2.87,0.0,1,0.0171857857142857,0.00691792314970751,0.00444766666666667,0.0137371861535275,0.0,0.0
2.9,2.9,0.0,1,0.0150425,0.00584870241620282,0.00098011111111111,0.0150076130971403,0.0,0.0
