protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig6_1x10s,da_only,1,start,840.0,a_only,0.5116225293338129,0.0,0.5116225293307716,0.0,0.48837747066922843
fig6_1x10s,da_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,da_only,1,start,840.0,shared,0.5116225293338129,0.0,0.5116225293307716,0.0,0.48837747066922843
fig6_1x10s,da_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,da_only,1,last_30s_start,870.0,a_only,0.5116225293338129,0.0,0.511622529332694,0.0,0.48837747066730597
fig6_1x10s,da_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,da_only,1,last_30s_start,870.0,shared,0.5116225293338129,0.0,0.511622529332694,0.0,0.48837747066730597
fig6_1x10s,da_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,da_only,1,end,900.0,a_only,0.5116225293338129,0.0,0.5116225293334012,0.0,0.48837747066659876
fig6_1x10s,da_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,da_only,1,end,900.0,shared,0.5116225293338129,0.0,0.5116225293334012,0.0,0.48837747066659876
fig6_1x10s,da_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,start,840.0,a_only,0.0,0.14785621103378865,0.0,0.10723204871549545,1.1072320487154954
fig6_1x10s,no_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,start,840.0,shared,0.0,0.14785621103378865,0.0,0.10723204871549545,1.1072320487154954
fig6_1x10s,no_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,last_30s_start,870.0,a_only,0.0,0.14785621103378865,0.0,0.10921331249093504,1.1092133124909351
fig6_1x10s,no_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x10s,no_only,1,last_30s_start,870.0,shared,0.0,0.14785621103378865,0.0,0.10921331249093504,1.1092133124909351
