body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
34908,22332,KCg-m,KCg-m_R,gamma,2,2,22,21.511905661594398,0.0,-0.004657745361328125,-0.005293726921081543
35073,22482,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,1,1.0,0.9786564916304965,0.0,0.0
35180,22576,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
35489,22852,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
35668,23013,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
35736,23072,KCa'b'-m,KCa'b'-m_R,apbp,0,0,54,53.50970428305684,0.6445638452609138,0.0,0.0
35775,23107,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
36007,23307,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,15,14.993116363542143,0.6752337646907022,0.0,0.0
36043,23340,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,1,1.0,0.8291879609280792,0.0,0.0
36119,23409,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,2,1.9433464358954617,0.8489898881299308,0.0,0.0
36251,23529,KCg-m,KCg-m_R,gamma,1,2,62,60.9166545517028,0.0,-0.00774914026260376,-0.008525371551513672
36376,23644,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,9,8.990859977702481,0.822347121239209,0.0,0.0
36378,23646,KCg-m,KCg-m_R,gamma,1,2,80,78.2941209623519,0.0,-0.0066297054290771484,-0.00821143388748169
36482,23736,KCab-c,KCab-c_R,ab,2,0,42,41.260143777486626,0.0,-0.010926008224487305,-0.012431740760803223
36713,23935,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,0,0.0,1.0,0.0,0.0
36723,23943,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
36839,24039,KCg-m,KCg-m_R,gamma,1,2,34,32.96434090982215,0.0,-0.0008594393730163574,-0.0022392868995666504
37043,24224,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
37293,24447,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,0,0.0,1.0,0.0,0.0
37311,24463,KCg-m,KCg-m_R,gamma,1,3,60,58.212879034655934,0.0,-0.005642592906951904,-0.0077522993087768555
37432,24567,KCg-m,KCg-m_R,gamma,1,2,73,70.55417024982764,0.0,-0.004727482795715332,-0.007820367813110352
37720,24822,KCab-s,KCab-s_R,ab,2,0,2,2.0,0.2705283539142022,-0.007280588150024414,-0.007280588150024414
